time,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2017-03-01,0.26899999999999996,0.285,0.25,0.284,0.319,0.327,0.244,0.316,0.217,0.287,0.24600000000000002,0.226
2017-04-01,0.284,0.16,0.134,0.155,0.136,0.13699999999999998,0.121,0.11800000000000001,0.213,0.297,0.18,0.377
2017-05-01,0.22399999999999998,0.177,0.157,0.166,0.138,0.152,0.127,0.157,0.175,0.221,0.179,0.171
2017-06-01,0.177,0.172,0.127,0.152,0.161,0.19,0.128,0.161,0.14300000000000002,0.188,0.147,0.156
2017-07-01,0.209,0.171,0.152,0.192,0.165,0.185,0.14400000000000002,0.171,0.134,0.276,0.177,0.242
2017-08-01,0.166,0.121,0.12300000000000001,0.135,0.113,0.128,0.105,0.12300000000000001,0.098,0.209,0.131,0.18600000000000003
2017-09-01,0.156,0.163,0.17600000000000002,0.175,0.174,0.18,0.16,0.192,0.124,0.23600000000000002,0.168,0.187
2017-10-01,0.23199999999999998,0.191,0.16,0.185,0.21,0.259,0.165,0.231,0.124,0.28,0.156,0.252
2017-11-01,0.309,0.272,0.19699999999999998,0.248,0.243,0.225,0.215,0.25,0.17600000000000002,0.35,0.20199999999999999,0.37
2017-12-01,0.34700000000000003,0.336,0.3,0.35600000000000004,0.358,0.336,0.293,0.365,0.266,0.341,0.309,0.331
2018-01-01,0.376,0.419,0.373,0.406,0.431,0.396,0.36200000000000004,0.42100000000000004,0.355,0.36200000000000004,0.385,0.294
2018-02-01,0.255,0.265,0.28,0.295,0.294,0.331,0.256,0.325,0.307,0.307,0.304,0.366
2018-03-01,0.31,0.301,0.29100000000000004,0.321,0.29100000000000004,0.3,0.26,0.311,0.34,0.327,0.32799999999999996,0.332
2018-04-01,0.26899999999999996,0.247,0.193,0.18899999999999997,0.23,0.21600000000000003,0.17,0.22,0.183,0.258,0.172,0.24600000000000002
2018-05-01,0.17,0.14400000000000002,0.132,0.135,0.151,0.15,0.152,0.129,0.129,0.254,0.139,0.158
2018-06-01,0.162,0.14400000000000002,0.115,0.134,0.11199999999999999,0.14,0.114,0.11,0.168,0.18100000000000002,0.129,0.21
2018-07-01,0.12300000000000001,0.099,0.106,0.09699999999999999,0.10099999999999999,0.10099999999999999,0.091,0.09,0.1,0.14400000000000002,0.098,0.139
2018-08-01,0.163,0.133,0.084,0.11800000000000001,0.126,0.14300000000000002,0.127,0.11800000000000001,0.126,0.19,0.09699999999999999,0.157
2018-09-01,0.145,0.153,0.163,0.165,0.151,0.161,0.151,0.161,0.149,0.156,0.156,0.14400000000000002
2018-10-01,0.27399999999999997,0.23600000000000002,0.2,0.22399999999999998,0.22399999999999998,0.218,0.19899999999999998,0.205,0.222,0.322,0.212,0.307
2018-11-01,0.247,0.244,0.266,0.24100000000000002,0.26,0.28,0.215,0.284,0.244,0.273,0.267,0.24
2018-12-01,0.292,0.349,0.28300000000000003,0.317,0.353,0.331,0.295,0.35600000000000004,0.31,0.287,0.321,0.21899999999999997
2019-01-01,0.278,0.223,0.175,0.268,0.267,0.265,0.21100000000000002,0.237,0.26899999999999996,0.408,0.21100000000000002,0.501
2019-02-01,0.24100000000000002,0.259,0.231,0.242,0.251,0.27,0.198,0.271,0.26899999999999996,0.254,0.244,0.198
2019-03-01,0.342,0.42,0.332,0.38,0.431,0.4,0.371,0.382,0.353,0.34700000000000003,0.361,0.289
2019-04-01,0.26,0.209,0.184,0.19899999999999998,0.205,0.187,0.195,0.18600000000000003,0.19,0.295,0.204,0.28600000000000003
2019-05-01,0.292,0.21100000000000002,0.136,0.183,0.17600000000000002,0.159,0.2,0.15,0.16899999999999998,0.326,0.185,0.33399999999999996
2019-06-01,0.177,0.177,0.127,0.16399999999999998,0.165,0.171,0.18,0.159,0.153,0.188,0.154,0.146
2019-07-01,0.14300000000000002,0.158,0.134,0.155,0.139,0.14,0.18,0.133,0.129,0.17800000000000002,0.16,0.139
2019-08-01,0.142,0.13699999999999998,0.141,0.151,0.128,0.146,0.183,0.15,0.11900000000000001,0.136,0.146,0.157
2019-09-01,0.19,0.237,0.225,0.247,0.22899999999999998,0.23199999999999998,0.306,0.23800000000000002,0.192,0.214,0.252,0.19699999999999998
2019-10-01,0.285,0.313,0.24,0.29100000000000004,0.308,0.289,0.34700000000000003,0.304,0.218,0.267,0.239,0.22899999999999998
2019-11-01,0.26899999999999996,0.326,0.278,0.305,0.312,0.26899999999999996,0.35600000000000004,0.285,0.27,0.27399999999999997,0.295,0.20600000000000002
2019-12-01,0.33399999999999996,0.435,0.35200000000000004,0.366,0.408,0.386,0.445,0.42200000000000004,0.335,0.33,0.366,0.258
